merchant_id,merchant_name,merchant_type,country,currency,city,description
invu_merch_001,Krispy Kreme Panamá,restaurant,PA,USD,Panama City,International doughnut franchise — Multiplaza Pacific location
invu_merch_002,La Cevichería del Rey,restaurant,PA,USD,Panama City,Premium ceviche and seafood bar in Casco Viejo
invu_merch_003,Café Unido,restaurant,PA,USD,Panama City,Specialty coffee roaster and café — multiple locations
invu_merch_004,Maito Restaurante,restaurant,PA,USD,Panama City,Fine dining — Chef Mario Castrellón — Latin America's 50 Best
invu_merch_005,El Trapiche,restaurant,PA,USD,Panama City,Traditional Panamanian cuisine — Vía Argentina
invu_merch_006,Casa Jaguar Bar,bar,PA,USD,Panama City,Cocktail bar and lounge in Casco Viejo
invu_merch_007,The Westin Playa Bonita,hotel,PA,USD,Playa Bonita,Beachfront resort — room service and F&B outlets
invu_merch_008,Tienda Orgánica Verde,retail,PA,USD,Panama City,Organic grocery and health food store — Costa del Este
invu_merch_009,Sabores de Costa Rica,restaurant,CR,USD,San José,Traditional Costa Rican casado restaurant
invu_merch_010,La Barra Brewery,bar,PA,USD,Panama City,Craft brewery and taproom — Clayton
invu_merch_011,Farmacia San Fernando,retail,PA,USD,Panama City,Pharmacy and wellness retail chain
invu_merch_012,Hotel Tantalo,hotel,PA,USD,Panama City,Boutique hotel with rooftop bar — Casco Viejo
